Cell Ref.,Independent,Dependent,Main Score,Conservation,Industry
,,,,,
B-2,Clouds,Clouds,NA,NA,NA
B-3,Clouds,Precipitation,(+ -),(+ -),(+ -)
B-4,Clouds,Winds/ storms,0,0,0
B-5,Clouds,CO2,0,0,0
B-6,Clouds,DMS,0,0,0
B-7,Clouds,Freshwater,0,0,0
B-8,Clouds,Allochthonous organic carbon inputs,0,0,0
B-9,Clouds,Allochthonous nutrient inputs,0,0,0
B-10,Clouds,Allochthonous sediment inputs,0,0,0
B-11,Clouds,Sea ice (extent/ thickness),0,0,0
B-12,Clouds,Stratification,0,0,0
B-13,Clouds,Light,-,-,-
B-14,Clouds,Temperature,++ ,+ +,+ +
B-15,Clouds,pH,0,0,0
B-16,Clouds,Nutrients,0,0,0
B-17,Clouds,Primary Production,0,0,0
B-18,Clouds,Respiration,0,0,0
B-19,Clouds,Higher trophic levels,0,0,0
B-20,Clouds,Development,0,0,0
B-21,Clouds,Tourism,(-),(-),(-)
B-22,Clouds,Arctic policy and management,0,0,0
B-23,Clouds,Resource extraction ,0,0,0
B-24,Clouds,Pollution,(+ -),(+ -),(+ -)
C-2,Precipitation,Clouds,-,-,-
C-3,Precipitation,Precipitation,NA,NA,NA
C-4,Precipitation,Winds/ storms,0,0,0
C-5,Precipitation,CO2,0,0,0
C-6,Precipitation,DMS,0,0,0
C-7,Precipitation,Freshwater,+ +,+ +,+ +
C-8,Precipitation,Allochthonous organic carbon inputs,0,0,0
C-9,Precipitation,Allochthonous nutrient inputs,0,0,0
C-10,Precipitation,Allochthonous sediment inputs,0,0,0
C-11,Precipitation,Sea ice (extent/ thickness),-,-,-
C-12,Precipitation,Stratification,0,0,0
C-13,Precipitation,Light,0,0,0
C-14,Precipitation,Temperature,0,0,0
C-15,Precipitation,pH,-,-,-
C-16,Precipitation,Nutrients,0,0,0
C-17,Precipitation,Primary Production,0,0,0
C-18,Precipitation,Respiration,0,0,0
C-19,Precipitation,Higher trophic levels,0,0,0
C-20,Precipitation,Development,0,0,0
C-21,Precipitation,Tourism,(-),(-),(-)
C-22,Precipitation,Arctic policy and management,0,0,0
C-23,Precipitation,Resource extraction ,0,0,0
C-24,Precipitation,Pollution,+,+,+
D-2,Winds/ storms,Clouds,0,0,0
D-3,Winds/ storms,Precipitation,0,0,0
D-4,Winds/ storms,Winds/ storms,NA,NA,NA
D-5,Winds/ storms,CO2,+ -,+ -,+ -
D-6,Winds/ storms,DMS,+,+,+
D-7,Winds/ storms,Freshwater,0,0,0
D-8,Winds/ storms,Allochthonous organic carbon inputs,0,0,0
D-9,Winds/ storms,Allochthonous nutrient inputs,0,0,0
D-10,Winds/ storms,Allochthonous sediment inputs,0,0,0
D-11,Winds/ storms,Sea ice (extent/ thickness),-,-,-
D-12,Winds/ storms,Stratification,- -,- -,- -
D-13,Winds/ storms,Light,-,-,-
D-14,Winds/ storms,Temperature,+ -,+ -,+ -
D-15,Winds/ storms,pH,0,0,0
D-16,Winds/ storms,Nutrients,0,0,0
